AssetID,Asset Name,AssetSerial,Color,StandardCost,ListPrice,Size,ModifiedDate
405,Asset 84,LE-1201,Black,$171.00 ,$246.00 ,General,08-02-2014
406,Asset 85,LE-1400,Black,$473.00 ,$459.00 ,General,08-02-2014
407,Asset 86,LE-3800,Red,$928.00 ,$111.00 ,General,08-02-2014
408,Asset 87,LE-5160,Red,$39.00 ,$249.00 ,General,08-02-2014
409,Asset 88,LE-6000,Red,$396.00 ,$108.00 ,General,08-02-2014
410,Asset 89,LE-7160,Red,$418.00 ,$396.00 ,General,08-02-2014
411,Asset 90,LE-8000,Black,$815.00 ,$488.00 ,General,08-02-2014
412,Asset 91,LI-1000,Black,$618.00 ,$357.00 ,General,08-02-2014
413,Asset 92,LI-1200,Black,$503.00 ,$149.00 ,General,08-02-2014
414,Asset 93,LI-1201,Black,$445.00 ,$132.00 ,General,08-02-2014
415,Asset 94,LI-1400,Yellow,$287.00 ,$360.00 ,General,08-02-2014
416,Asset 95,LI-3800,Yellow,$481.00 ,$202.00 ,General,08-02-2014
417,Asset 96,LI-5160,Yellow,$917.00 ,$474.00 ,General,08-02-2014
418,Asset 97,LI-5800,Yellow,$799.00 ,$89.00 ,General,08-02-2014
419,Asset 98,LI-6000,Yellow,$823.00 ,$62.00 ,General,08-02-2014
420,Asset 99,LI-7160,Silver,$619.00 ,$251.00 ,General,08-02-2014
421,Asset 100,LI-8000,Black,$554.00 ,$438.00 ,General,08-02-2014
422,Asset 101,LJ-1213,Red,$287.00 ,$185.00 ,General,08-02-2014
423,Asset 102,LJ-1220,Red,$267.00 ,$198.00 ,General,08-02-2014
424,Asset 103,LJ-1420,Black,$705.00 ,$133.00 ,General,08-02-2014
425,Asset 104,LJ-1428,Yellow,$194.00 ,$452.00 ,General,08-02-2014
426,Asset 105,LJ-3410,Silver,$718.00 ,$287.00 ,General,08-02-2014
427,Asset 106,LJ-3416,Blue,$810.00 ,$103.00 ,General,08-02-2014
428,Asset 107,LJ-3816,Multi,$779.00 ,$337.00 ,General,08-02-2014
429,Asset 108,LJ-3824,Multi,$745.00 ,$394.00 ,General,08-02-2014
430,Asset 109,LJ-5161,Multi,$269.00 ,$115.00 ,General,08-02-2014
431,Asset 110,LJ-5162,Multi,$478.00 ,$396.00 ,General,08-02-2014
432,Asset 111,LJ-5811,Multi,$656.00 ,$392.00 ,General,08-02-2014
433,Asset 112,LJ-5818,Red,$564.00 ,$435.00 ,General,08-02-2014
434,Asset 113,LJ-7161,Red,$344.00 ,$229.00 ,General,08-02-2014
435,Asset 114,LJ-7162,Red,$771.00 ,$472.00 ,General,08-02-2014
436,Asset 115,LJ-9080,Red,$14.00 ,$325.00 ,General,08-02-2014
437,Asset 116,LJ-9161,Red,$350.00 ,$177.00 ,General,08-02-2014
438,Asset 117,LN-1024,Black,$975.00 ,$295.00 ,General,08-02-2014
439,Asset 118,LN-1032,Black,$393.00 ,$372.00 ,General,08-02-2014
440,Asset 119,LN-1213,Black,$181.00 ,$96.00 ,General,08-02-2014
441,Asset 120,LN-1220,Red,$614.00 ,$143.00 ,General,08-02-2014
442,Asset 121,LN-1224,Red,$979.00 ,$264.00 ,General,08-02-2014
443,Asset 122,LN-1420,Red,$893.00 ,$486.00 ,General,08-02-2014
444,Asset 123,LN-1428,Red,$833.00 ,$52.00 ,General,08-02-2014
445,Asset 124,LN-3410,Red,$297.00 ,$422.00 ,General,08-02-2014
446,Asset 125,LN-3416,Red,$119.00 ,$479.00 ,General,08-02-2014
447,Asset 126,LN-3816,Red,$665.00 ,$397.00 ,General,08-02-2014
448,Asset 127,LN-3824,Red,$254.00 ,$375.00 ,General,08-02-2014
449,Asset 128,LN-4400,Red,$226.00 ,$227.00 ,General,08-02-2014
450,Asset 129,LN-5161,Red,$89.00 ,$111.00 ,General,08-02-2014
451,Asset 130,LN-5162,Red,$972.00 ,$252.00 ,General,08-02-2014
452,Asset 131,LN-5400,Black,$210.00 ,$321.00 ,General,08-02-2014
453,Asset 132,LN-5811,Black,$821.00 ,$471.00 ,General,08-02-2014
454,Asset 133,LN-5818,Black,$714.00 ,$121.00 ,General,08-02-2014
455,Asset 134,LN-6320,Silver,$945.00 ,$276.00 ,General,08-02-2014
456,Asset 135,LN-7161,Silver,$132.00 ,$115.00 ,General,08-02-2014
457,Asset 136,LN-7162,Silver,$469.00 ,$183.00 ,General,08-02-2014
458,Asset 137,LN-8320,Silver,$660.00 ,$479.00 ,General,08-02-2014
459,Asset 138,LN-9080,Black,$847.00 ,$315.00 ,General,08-02-2014
460,Asset 139,LN-9161,Black,$741.00 ,$153.00 ,General,08-02-2014
461,Asset 140,LR-2398,Black,$566.00 ,$127.00 ,General,08-02-2014
462,Asset 141,LR-8520,Black,$109.00 ,$110.00 ,General,08-02-2014
463,Asset 142,LW-1000,Black,$683.00 ,$405.00 ,General,08-02-2014
464,Asset 143,LW-1200,Silver,$577.00 ,$408.00 ,General,08-02-2014
465,Asset 144,LW-1201,Red,$632.00 ,$154.00 ,General,08-02-2014
466,Asset 145,LW-1400,Red,$108.00 ,$121.00 ,General,08-02-2014
467,Asset 146,LW-3400,Red,$544.00 ,$476.00 ,General,08-02-2014
468,Asset 147,LW-3800,Red,$310.00 ,$254.00 ,General,08-02-2014
469,Asset 148,LW-4000,Red,$243.00 ,$55.00 ,General,08-02-2014
470,Asset 149,LW-5160,Red,$74.00 ,$63.00 ,General,08-02-2014
471,Asset 150,LW-5800,Red,$107.00 ,$134.00 ,General,08-02-2014
472,Asset 151,LW-6000,Red,$835.00 ,$416.00 ,General,08-02-2014
473,Asset 152,LW-7160,Red,$334.00 ,$114.00 ,General,08-02-2014
474,Asset 153,LW-8000,Red,$362.00 ,$442.00 ,General,08-02-2014
475,Asset 154,LW-9160,Red,$927.00 ,$415.00 ,General,08-02-2014
476,Asset 155,MA-7075,Red,$131.00 ,$118.00 ,General,08-02-2014
477,Asset 156,MB-2024,Red,$864.00 ,$120.00 ,General,08-02-2014
478,Asset 157,MB-6061,Red,$686.00 ,$361.00 ,General,08-02-2014
479,Asset 158,MP-2066,Red,$210.00 ,$150.00 ,General,08-02-2014
480,Asset 159,MP-2503,Red,$929.00 ,$435.00 ,General,08-02-2014
481,Asset 160,MP-4960,Black,$304.00 ,$269.00 ,General,08-02-2014
482,Asset 161,MS-0253,Black,$169.00 ,$160.00 ,General,08-02-2014
483,Asset 162,MS-1256,Black,$997.00 ,$482.00 ,General,08-02-2014
484,Asset 163,MS-1981,Black,$702.00 ,$356.00 ,General,08-02-2014
485,Asset 164,MS-2259,Black,$156.00 ,$76.00 ,General,08-02-2014
486,Asset 165,MS-2341,Black,$533.00 ,$283.00 ,General,08-02-2014
487,Asset 166,MS-2348,Silver,$509.00 ,$382.00 ,General,08-02-2014
488,Asset 167,MS-6061,Silver,$772.00 ,$206.00 ,General,08-02-2014
489,Asset 168,MT-1000,Silver,$580.00 ,$290.00 ,General,08-02-2014
490,Asset 169,NI-4127,Silver,$612.00 ,$201.00 ,General,08-02-2014
491,Asset 170,NI-9522,Black,$549.00 ,$488.00 ,General,08-02-2014
492,Asset 171,PA-187B,Black,$461.00 ,$270.00 ,General,08-02-2014
493,Asset 172,PA-361R,Black,$828.00 ,$299.00 ,General,08-02-2014
494,Asset 173,PA-529S,Black,$595.00 ,$405.00 ,General,08-02-2014
495,Asset 174,PA-632U,Silver,$849.00 ,$108.00 ,General,08-02-2014
496,Asset 175,PA-823Y,Silver,$697.00 ,$380.00 ,General,08-02-2014
497,Asset 176,PB-6109,Silver,$599.00 ,$200.00 ,General,08-02-2014
504,Asset 177,RA-2345,Black,$91.00 ,$425.00 ,General,08-02-2014
505,Asset 178,RA-7490,Black,$660.00 ,$308.00 ,General,08-02-2014
506,Asset 179,RF-9198,Black,$771.00 ,$175.00 ,General,08-02-2014
507,Asset 180,RM-M464,Black,$535.00 ,$232.00 ,General,08-02-2014
508,Asset 181,RM-M692,Black,$419.00 ,$180.00 ,General,08-02-2014
509,Asset 182,RM-M823,Black,$728.00 ,$63.00 ,General,08-02-2014
510,Asset 183,RM-R436,Black,$545.00 ,$444.00 ,General,08-02-2014
511,Asset 184,RM-R600,Red,$147.00 ,$188.00 ,General,08-02-2014
512,Asset 185,RM-R800,Red,$834.00 ,$464.00 ,General,08-02-2014
513,Asset 186,RM-T801,Red,$962.00 ,$326.00 ,General,08-02-2014
514,Asset 187,SA-M198,Red,$981.00 ,$395.00 ,General,08-02-2014
515,Asset 188,SA-M237,Black,$933.00 ,$161.00 ,General,08-02-2014
516,Asset 189,SA-M687,Black,$987.00 ,$465.00 ,General,08-02-2014
517,Asset 190,SA-R127,Black,$168.00 ,$243.00 ,General,08-02-2014
518,Asset 191,SA-R430,Black,$714.00 ,$332.00 ,General,08-02-2014
519,Asset 192,SA-R522,Yellow,$826.00 ,$119.00 ,General,08-02-2014
520,Asset 193,SA-T467,Yellow,$530.00 ,$423.00 ,General,08-02-2014
521,Asset 194,SA-T612,Yellow,$899.00 ,$464.00 ,General,08-02-2014
522,Asset 195,SA-T872,Yellow,$758.00 ,$96.00 ,General,08-02-2014
523,Asset 196,SD-2342,Yellow,$716.00 ,$164.00 ,General,08-02-2014
524,Asset 197,SD-9872,Black,$647.00 ,$394.00 ,General,08-02-2014
525,Asset 198,SH-4562,Yellow,$443.00 ,$438.00 ,General,08-02-2014
526,Asset 199,SH-9312,Silver,$415.00 ,$255.00 ,General,08-02-2014
527,Asset 200,SK-9283,Black,$289.00 ,$206.00 ,General,08-02-2014
528,Asset 201,SL-0931,Yellow,$269.00 ,$477.00 ,General,08-02-2014
529,Asset 202,SM-9087,Silver,$257.00 ,$454.00 ,General,08-02-2014
530,Asset 203,SP-2981,Black,$655.00 ,$87.00 ,General,08-02-2014
531,Asset 204,SR-2098,Yellow,$520.00 ,$183.00 ,General,08-02-2014
532,Asset 205,SS-2985,Silver,$375.00 ,$387.00 ,General,08-02-2014
533,Asset 206,ST-9828,Black,$499.00 ,$349.00 ,General,08-02-2014
534,Asset 207,TO-2301,Yellow,$896.00 ,$250.00 ,General,08-02-2014
535,Asset 208,TP-0923,Silver,$807.00 ,$59.00 ,General,08-02-2014
679,Asset 209,RC-0291,Silver,$465.00 ,$234.00 ,General,08-02-2014
680,Asset 210,FR-R92B-58,Black,$270.00 ,$408.00 ,58,08-02-2014
706,Asset 211,FR-R92R-58,Red,"$1,000.00 ",$328.00 ,58,08-02-2014
707,Asset 212,HL-U509-R,Red,$447.00 ,$369.00 ,,08-02-2014
708,Asset 213,HL-U509,Black,$650.00 ,$291.00 ,,08-02-2014
709,Asset 214,SO-B909-M,Yellow,$75.00 ,$467.00 ,M,08-02-2014
710,Asset 215,SO-B909-L,Silver,$565.00 ,$325.00 ,L,08-02-2014
711,Asset 216,HL-U509-B,Blue,$330.00 ,$290.00 ,,08-02-2014
712,Asset 217,CA-1098,Multi,$608.00 ,$499.00 ,,08-02-2014
713,Asset 218,LJ-0192-S,Multi,$414.00 ,$73.00 ,S,08-02-2014
714,Asset 219,LJ-0192-M,Multi,$982.00 ,$246.00 ,M,08-02-2014
715,Asset 220,LJ-0192-L,Multi,$650.00 ,$457.00 ,L,08-02-2014
716,Asset 221,LJ-0192-X,Multi,$738.00 ,$190.00 ,XL,08-02-2014
717,Asset 222,FR-R92R-62,Red,$60.00 ,$329.00 ,62,08-02-2014
718,Asset 223,FR-R92R-44,Red,$930.00 ,$68.00 ,44,08-02-2014
719,Asset 224,FR-R92R-48,Red,$327.00 ,$341.00 ,48,08-02-2014
720,Asset 225,FR-R92R-52,Red,$652.00 ,$452.00 ,52,08-02-2014
721,Asset 226,FR-R92R-56,Red,$87.00 ,$373.00 ,56,08-02-2014
722,Asset 227,FR-R38B-58,Black,$5.00 ,$61.00 ,58,08-02-2014
723,Asset 228,FR-R38B-60,Black,$912.00 ,$177.00 ,60,08-02-2014
724,Asset 229,FR-R38B-62,Black,$308.00 ,$438.00 ,62,08-02-2014
725,Asset 230,FR-R38R-44,Red,$247.00 ,$379.00 ,44,08-02-2014
726,Asset 231,FR-R38R-48,Red,$773.00 ,$78.00 ,48,08-02-2014
727,Asset 232,FR-R38R-52,Red,$128.00 ,$63.00 ,52,08-02-2014
728,Asset 233,FR-R38R-58,Red,$677.00 ,$245.00 ,58,08-02-2014
729,Asset 234,FR-R38R-60,Red,$740.00 ,$179.00 ,60,08-02-2014
730,Asset 235,FR-R38R-62,Red,$818.00 ,$264.00 ,62,08-02-2014
731,Asset 236,FR-R72R-44,Red,$748.00 ,$279.00 ,44,08-02-2014
732,Asset 237,FR-R72R-48,Red,$330.00 ,$113.00 ,48,08-02-2014
733,Asset 238,FR-R72R-52,Red,$735.00 ,$431.00 ,52,08-02-2014
734,Asset 239,FR-R72R-58,Red,$835.00 ,$277.00 ,58,08-02-2014
735,Asset 240,FR-R72R-60,Red,$407.00 ,$157.00 ,60,08-02-2014
736,Asset 241,FR-R38B-44,Black,$785.00 ,$398.00 ,44,08-02-2014
737,Asset 242,FR-R38B-48,Black,$420.00 ,$436.00 ,48,08-02-2014
738,Asset 243,FR-R38B-52,Black,$680.00 ,$360.00 ,52,08-02-2014
739,Asset 244,FR-M94S-42,Silver,$284.00 ,$339.00 ,42,08-02-2014
740,Asset 245,FR-M94S-44,Silver,$245.00 ,$111.00 ,44,08-02-2014
741,Asset 246,FR-M94S-52,Silver,$450.00 ,$73.00 ,48,08-02-2014
742,Asset 247,FR-M94S-46,Silver,$200.00 ,$146.00 ,46,08-02-2014
743,Asset 248,FR-M94B-42,Black,$966.00 ,$446.00 ,42,08-02-2014
744,Asset 249,FR-M94B-44,Black,$734.00 ,$447.00 ,44,08-02-2014
745,Asset 250,FR-M94B-48,Black,$810.00 ,$386.00 ,48,08-02-2014
746,Asset 251,FR-M94B-46,Black,$542.00 ,$321.00 ,46,08-02-2014
747,Asset 252,FR-M94B-38,Black,$712.00 ,$406.00 ,38,08-02-2014
748,Asset 253,FR-M94S-38,Silver,$508.00 ,$98.00 ,38,08-02-2014
749,Asset 254,BK-R93R-62,Red,$11.00 ,$307.00 ,62,08-02-2014
750,Asset 255,BK-R93R-44,Red,$48.00 ,$60.00 ,44,08-02-2014
751,Asset 256,BK-R93R-48,Red,$980.00 ,$171.00 ,48,08-02-2014
752,Asset 257,BK-R93R-52,Red,$769.00 ,$112.00 ,52,08-02-2014
753,Asset 258,BK-R93R-56,Red,$727.00 ,$112.00 ,56,08-02-2014
754,Asset 259,BK-R68R-58,Red,$115.00 ,$398.00 ,58,08-02-2014
755,Asset 260,BK-R68R-60,Red,$492.00 ,$481.00 ,60,08-02-2014
756,Asset 261,BK-R68R-44,Red,$71.00 ,$401.00 ,44,08-02-2014
757,Asset 262,BK-R68R-48,Red,$843.00 ,$302.00 ,48,08-02-2014
758,Asset 263,BK-R68R-52,Red,$549.00 ,$106.00 ,52,08-02-2014
759,Asset 264,BK-R50R-58,Red,$646.00 ,$350.00 ,58,08-02-2014
760,Asset 265,BK-R50R-60,Red,$590.00 ,$58.00 ,60,08-02-2014
761,Asset 266,BK-R50R-62,Red,$870.00 ,$193.00 ,62,08-02-2014
762,Asset 267,BK-R50R-44,Red,$236.00 ,$343.00 ,44,08-02-2014
763,Asset 268,BK-R50R-48,Red,$258.00 ,$188.00 ,48,08-02-2014
764,Asset 269,BK-R50R-52,Red,$944.00 ,$279.00 ,52,08-02-2014
765,Asset 270,BK-R50B-58,Black,$839.00 ,$380.00 ,58,08-02-2014
766,Asset 271,BK-R50B-60,Black,$4.00 ,$72.00 ,60,08-02-2014
767,Asset 272,BK-R50B-62,Black,$273.00 ,$483.00 ,62,08-02-2014
768,Asset 273,BK-R50B-44,Black,$303.00 ,$374.00 ,44,08-02-2014
769,Asset 274,BK-R50B-48,Black,$568.00 ,$119.00 ,48,08-02-2014
770,Asset 275,BK-R50B-52,Black,$970.00 ,$194.00 ,52,08-02-2014
771,Asset 276,BK-M82S-38,Silver,$377.00 ,$65.00 ,38,08-02-2014
772,Asset 277,BK-M82S-42,Silver,$205.00 ,$473.00 ,42,08-02-2014
773,Asset 278,BK-M82S-44,Silver,$69.00 ,$269.00 ,44,08-02-2014
774,Asset 279,BK-M82S-48,Silver,$240.00 ,$174.00 ,48,08-02-2014
775,Asset 280,BK-M82B-38,Black,$94.00 ,$208.00 ,38,08-02-2014
776,Asset 281,BK-M82B-42,Black,$108.00 ,$106.00 ,42,08-02-2014
777,Asset 282,BK-M82B-44,Black,$457.00 ,$317.00 ,44,08-02-2014
778,Asset 283,BK-M82B-48,Black,$292.00 ,$181.00 ,48,08-02-2014
779,Asset 284,BK-M68S-38,Silver,$722.00 ,$439.00 ,38,08-02-2014
780,Asset 285,BK-M68S-42,Silver,$756.00 ,$421.00 ,42,08-02-2014
781,Asset 286,BK-M68S-46,Silver,$591.00 ,$456.00 ,46,08-02-2014
782,Asset 287,BK-M68B-38,Black,$121.00 ,$215.00 ,38,08-02-2014
783,Asset 288,BK-M68B-42,Black,$179.00 ,$482.00 ,42,08-02-2014
784,Asset 289,BK-M68B-46,Black,$878.00 ,$207.00 ,46,08-02-2014
785,Asset 290,BK-M47B-38,Black,$238.00 ,$133.00 ,38,08-02-2014
786,Asset 291,BK-M47B-40,Black,$838.00 ,$265.00 ,40,08-02-2014
787,Asset 292,BK-M47B-44,Black,$517.00 ,$460.00 ,44,08-02-2014
788,Asset 293,BK-M47B-48,Black,"$1,000.00 ",$364.00 ,48,08-02-2014
789,Asset 294,BK-R89R-44,Red,$39.00 ,$470.00 ,44,08-02-2014
790,Asset 295,BK-R89R-48,Red,$581.00 ,$397.00 ,48,08-02-2014
791,Asset 296,BK-R89R-52,Red,$516.00 ,$270.00 ,52,08-02-2014
792,Asset 297,BK-R89R-58,Red,$176.00 ,$80.00 ,58,08-02-2014
793,Asset 298,BK-R89B-44,Black,$251.00 ,$470.00 ,44,08-02-2014
794,Asset 299,BK-R89B-48,Black,$766.00 ,$464.00 ,48,08-02-2014
795,Asset 300,BK-R89B-52,Black,$572.00 ,$165.00 ,52,08-02-2014
796,Asset 301,BK-R89B-58,Black,$533.00 ,$227.00 ,58,08-02-2014
797,Asset 302,BK-R64Y-38,Yellow,$671.00 ,$423.00 ,38,08-02-2014
798,Asset 303,BK-R64Y-40,Yellow,$592.00 ,$159.00 ,40,08-02-2014
799,Asset 304,BK-R64Y-42,Yellow,$898.00 ,$402.00 ,42,08-02-2014
800,Asset 305,BK-R64Y-44,Yellow,$517.00 ,$489.00 ,44,08-02-2014
801,Asset 306,BK-R64Y-48,Yellow,$771.00 ,$107.00 ,48,08-02-2014
802,Asset 307,FK-1639,Silver,$484.00 ,$69.00 ,,08-02-2014
803,Asset 308,FK-5136,Black,$84.00 ,$103.00 ,,08-02-2014
804,Asset 309,FK-9939,Red,$288.00 ,$358.00 ,,08-02-2014
805,Asset 310,HS-0296,Red,$722.00 ,$110.00 ,,08-02-2014
806,Asset 311,HS-2451,Black,$151.00 ,$392.00 ,,08-02-2014
807,Asset 312,HS-3479,Yellow,$867.00 ,$51.00 ,,08-02-2014
808,Asset 313,HB-M243,Silver,$478.00 ,$106.00 ,,08-02-2014
809,Asset 314,HB-M763,Blue,$719.00 ,$437.00 ,,08-02-2014
810,Asset 315,HB-M918,Multi,$294.00 ,$447.00 ,,08-02-2014
811,Asset 316,HB-R504,Multi,$12.00 ,$170.00 ,,08-02-2014
812,Asset 317,HB-R720,Multi,$463.00 ,$327.00 ,,08-02-2014
813,Asset 318,HB-R956,Multi,$463.00 ,$471.00 ,,08-02-2014
814,Asset 319,FR-M63B-38,Multi,$620.00 ,$173.00 ,38,08-02-2014
815,Asset 320,FW-M423,Red,$170.00 ,$414.00 ,,08-02-2014
816,Asset 321,FW-M762,Red,$213.00 ,$431.00 ,,08-02-2014
817,Asset 322,FW-M928,Red,$286.00 ,$478.00 ,,08-02-2014
818,Asset 323,FW-R623,Red,$503.00 ,$299.00 ,,08-02-2014
819,Asset 324,FW-R762,Red,$297.00 ,$207.00 ,,08-02-2014
820,Asset 325,FW-R820,Black,$76.00 ,$154.00 ,,08-02-2014
821,Asset 326,FW-T905,Black,$143.00 ,$213.00 ,,08-02-2014
822,Asset 327,FR-R72Y-38,Black,$850.00 ,$323.00 ,38,08-02-2014
823,Asset 328,RW-M423,Red,$306.00 ,$95.00 ,,08-02-2014
824,Asset 329,RW-M762,Red,$250.00 ,$488.00 ,,08-02-2014
825,Asset 330,RW-M928,Red,$975.00 ,$425.00 ,,08-02-2014
826,Asset 331,RW-R623,Red,$312.00 ,$391.00 ,,08-02-2014
827,Asset 332,RW-R762,Red,$265.00 ,$494.00 ,,08-02-2014
828,Asset 333,RW-R820,Red,$329.00 ,$355.00 ,,08-02-2014
829,Asset 334,RW-T905,Red,$674.00 ,$351.00 ,,08-02-2014
830,Asset 335,FR-M63B-40,Red,$62.00 ,$80.00 ,40,08-02-2014
831,Asset 336,FR-M63B-44,Red,$662.00 ,$73.00 ,44,08-02-2014
832,Asset 337,FR-M63B-48,Red,$210.00 ,$296.00 ,48,08-02-2014
833,Asset 338,FR-R72Y-40,Red,$156.00 ,$337.00 ,40,08-02-2014
834,Asset 339,FR-R72Y-42,Black,$485.00 ,$99.00 ,42,08-02-2014
835,Asset 340,FR-R72Y-44,Black,$730.00 ,$134.00 ,44,08-02-2014
836,Asset 341,FR-R72Y-48,Black,$9.00 ,$418.00 ,48,08-02-2014
837,Asset 342,FR-R92B-62,Silver,$206.00 ,$169.00 ,62,08-02-2014
838,Asset 343,FR-R92B-44,Silver,$857.00 ,$333.00 ,44,08-02-2014
839,Asset 344,FR-R92B-48,Silver,$204.00 ,$357.00 ,48,08-02-2014
840,Asset 345,FR-R92B-52,Silver,$947.00 ,$119.00 ,52,08-02-2014
841,Asset 346,SH-M897-S,Black,$730.00 ,$150.00 ,S,08-02-2014
842,Asset 347,PA-T100,Black,$932.00 ,$72.00 ,,08-02-2014
843,Asset 348,LO-C100,Black,$277.00 ,$444.00 ,,08-02-2014
844,Asset 349,PU-0452,Black,$772.00 ,$208.00 ,,08-02-2014
